# SPHEREx Light Curve Data
# Source: 1662622870104953472
# RA: 205.250219
# Dec: 60.436094
# Generated: 2026-05-12T13:24:04.950755
# Number of observations: 266
#
# Column descriptions:
# - obs_id: Observation identifier
# - mjd: Modified Julian Date
# - flux: Flux density in microJansky (μJy)
# - flux_error: Flux density uncertainty in microJansky (μJy)
# - mag_ab: AB magnitude
# - mag_ab_error: AB magnitude uncertainty
# - wavelength: Central wavelength in microns
# - bandwidth: Bandwidth in microns
# - band: SPHEREx detector band (D1-D6)
# - flag: Combined flag bitmap (integer)
# - flag_binary: Flag bitmap in binary format
# - pix_x, pix_y: Pixel coordinates
# - is_upper_limit: True if flux_error > flux
# - snr: Signal-to-noise ratio
#
obs_id,mjd,flux,flux_error,mag_ab,mag_ab_error,wavelength,bandwidth,band,flag,flag_binary,pix_x,pix_y,is_upper_limit,snr,correction_factor,flux_calib,flux_error_calib
2025W20_1C_0274_3,60808.773252300496,232.9183256281475,103.14136176683,17.981990851376004,0.4807878915336416,4.193475604330532,0.0367455442286802,D5,2097152,1000000000000000000000,9.382201568081172,9.739227520272022,False,2.2582436535470825,1.3023701226102546,303.3458683065057,134.32822797045503
2025W20_1C_0274_4,60808.7747445575,203.5229548501817,58.91347790632612,18.128466501692152,0.3142863956461437,4.229648673799264,0.0367737965955267,D5,2097152,1000000000000000000000,9.453331226950054,9.14712816797177,False,3.4546077074890773,1.2918570792663722,262.92257001641747,76.1077934974904
2025W20_1C_0274_4,60808.7747445575,666.8526147256142,35.08603386629423,16.839925354055445,0.0571253323580052,1.4573662877299989,0.0358886680326267,D2,2097152,1000000000000000000000,9.058748636110378,9.515332159203568,False,19.00621247949696,1.3603631487175731,907.1617226986832,47.729747506363424
2025W20_1C_0405_1,60809.5857132145,227.0705675103383,71.53791906903504,18.009597886557962,0.3420580201032528,4.121747278437017,0.0367567753777452,D5,2097152,1000000000000000000000,9.5656623362377,9.004724653952508,False,3.174128776253782,1.3231522908975861,300.4489415967191,94.65556150223982
2025W20_1C_0405_1,60809.5857132265,642.5288821469994,36.12805356726711,16.880268364251798,0.0610486732274999,1.3578696614576744,0.0326346121687534,D2,2097152,1000000000000000000000,9.499134932309344,9.719857624547858,False,17.78476332666718,1.3699644501207977,880.2417267172449,49.494149039215806
2025W20_1C_0405_2,60809.5872054715,573.5869714467619,36.57609979973576,17.003501804669675,0.0692344801369073,1.3899821304686502,0.0332357411815949,D2,2097152,1000000000000000000000,9.229897172428608,9.334669605221425,False,15.68201570389705,1.3687075077650248,785.072794175386,50.06198240066115
2025W20_1C_0405_2,60809.5872054715,174.96110294169887,67.09824734372074,18.29264623050469,0.4163839573026083,4.157540380680074,0.0367841877024718,D5,2097152,1000000000000000000000,9.759026152741328,9.73573547611851,False,2.607536111121273,1.3137199608348546,229.8498933041916,88.1483068724802
2025W20_1C_0405_3,60809.588697717,237.27713734574763,69.64943198693206,17.96186026468552,0.3187028923012515,4.193552179078035,0.0367454915932112,D5,2097152,1000000000000000000000,9.421822050650317,9.414177603235382,False,3.40673470804854,1.3023225334732844,309.01136264340255,90.70602472019657
2025W20_1C_0405_3,60809.588697717,627.6967353848908,34.54874497666266,16.90562532521094,0.0597594684431763,1.4234722980811214,0.034508689337767,D2,2097152,1000000000000000000000,9.461112332631954,9.901903697767017,False,18.16843812442084,1.3642719422636354,856.3490443360881,47.13388341208258
2025W20_1C_0405_4,60809.59018998549,142.33714609092138,57.44111407776196,18.51670436544145,0.4381561588710672,4.229669145545257,0.0367742243318014,D5,2097152,1000000000000000000000,9.75079381618473,9.032172095460574,False,2.477966320399529,1.2915718008338395,183.83864410220062,74.18932315131703
2025W20_1C_0405_4,60809.59018998549,561.3264915310981,33.98154482086687,17.02696115244887,0.0657282242371813,1.4573913047974631,0.0358909774329996,D2,2097152,1000000000000000000000,9.34361292410943,9.392788369709072,False,16.518568961185284,1.3625714678262637,764.8474614952951,46.302283405572545
2025W20_2D_0434_1,60813.1182856915,609.6338021549986,38.4051249128114,16.93732740206155,0.0683981669302125,1.0296308906852465,0.027238309867553,D1,2097152,1000000000000000000000,9.921967141006771,9.097632191414744,False,15.873761732034714,1.3660708055142865,832.8029391786162,52.46411992552107
2025W20_2D_0434_1,60813.1182856915,275.55138283566,25.27620662549377,17.799493512890145,0.0995941024495354,3.4993861221654425,0.0971990429477099,D4,2097152,1000000000000000000000,9.382106839520368,9.599835822073189,False,10.901611421301515,1.386589994105503,382.076790301861,35.04773519585289
2025W20_2D_0434_2,60813.1197779485,676.4963282138074,37.60601465258023,16.824336390647453,0.0603554075936782,1.053963575518039,0.0276972780222511,D1,2097152,1000000000000000000000,9.575637218079116,9.78205483773078,False,17.989046019993282,1.365809571710406,923.9651603013625,51.362654766375854
